P@GRP	0.20167286694049835
R@GRP	0.02263127639889717
F1@GRP	0.04069576784968376
P@CORP	0.22852233052253723
R@CORP	0.0397687628865242
F1@CORP	0.06774768978357315
P@CW	0.11281178891658783
R@CW	0.018703008070588112
F1@CW	0.03208642452955246
P@PROD	0.15953756868839264
R@PROD	0.019834235310554504
F1@PROD	0.035282086580991745
P@PER	0.11818703263998032
R@PER	0.30982479453086853
F1@PER	0.17110402882099152
P@LOC	0.1853596419095993
R@LOC	0.04914436116814613
F1@LOC	0.07769062370061874
micro@P	0.1322268843650818
micro@R	0.08200613409280777
micro@F1	0.10123010724782944
MD@R	0.16038459539413452
MD@P	0.258604496717453
MD@F1	0.19798213243484497
ALLTRUE	135624.0
ALLRECALLED	21752.0
ALLPRED	84113.0
loss	26.19800581381871
